Real Madrid,Madrid
FC Barcelona,Barcelona
Manchester City,Manchester
Liverpool FC,Liverpool
Bayern München,München
Paris Saint-Germain,Paris
Arsenal FC,London
Inter Milan,Milano
AC Milan,Milano
Juventus,Torino
Atletico Madrid,Madrid
Borussia Dortmund,Dortmund
Bayer Leverkusen,Leverkusen
Napoli,Napoli
AS Roma,Roma
Chelsea FC,London
Tottenham Hotspur,London
Manchester United,Manchester
Aston Villa,Birmingham
RB Leipzig,Leipzig
Benfica,Lisboa
FC Porto,Porto
Sporting CP,Lisboa
Ajax,Amsterdam
PSV Eindhoven,Eindhoven
Feyenoord,Rotterdam
Olympique Marseille,Marseille
AS Monaco,Monaco
Lille OSC,Lille
Lazio,Roma
Fiorentina,Firenze
Sevilla FC,Sevilla
Real Sociedad,San Sebastian
Villarreal CF,Villarreal
Real Betis,Sevilla
Athletic Bilbao,Bilbao
Newcastle United,Newcastle
West Ham United,London
Brighton & Hove Albion,Brighton
Eintracht Frankfurt,Frankfurt
VfB Stuttgart,Stuttgart
Fenerbahçe,Istanbul
Galatasaray,Istanbul
Beşiktaş,Istanbul
Olympiacos,Piraeus
PAOK,Thessaloniki
Panathinaikos,Athens
Celtic FC,Glasgow
Rangers FC,Glasgow
Club Brugge,Brugge
Anderlecht,Brussels
Red Bull Salzburg,Salzburg
Sturm Graz,Graz
Dinamo Zagreb,Zagreb
Hajduk Split,Split
Slavia Praha,Praha
Sparta Praha,Praha
Ferencváros,Budapest
MOL Fehérvár,Székesfehérvár
Debreceni VSC,Debrecen
Puskás Akadémia,Felcsút
MTK Budapest,Budapest
Újpest FC,Budapest
Boca Juniors,Buenos Aires
River Plate,Buenos Aires
Flamengo,Rio de Janeiro
Palmeiras,Sao Paulo
São Paulo FC,Sao Paulo
Corinthians,Sao Paulo
Santos,Santos
Inter Miami,Miami
LA Galaxy,Los Angeles
Al-Hilal,Riyadh
Al-Nassr,Riyadh
Al-Ittihad,Jeddah
Al-Ahli,Jeddah
Shakhtar Donetsk,Donetsk
Dynamo Kyiv,Kyiv
FC Basel,Basel
Young Boys,Bern
Sheriff Tiraspol,Tiraspol
Ludogorets,Razgrad
Crvena Zvezda,Beograd
Partizan,Beograd
Malmö FF,Malmö
FC Copenhagen,Copenhagen
FC Midtjylland,Herning
Bodo/Glimt,Bodo
Maccabi Haifa,Haifa
AEK Athens,Athens
SC Braga,Braga
Girona FC,Girona
Atalanta,Bergamo
OGC Nice,Nice
RC Lens,Lens
Stade Rennais,Rennes
VfL Wolfsburg,Wolfsburg
SC Freiburg,Freiburg
TSG Hoffenheim,Sinsheim
Valencia CF,Valencia
